id,first_name,last_name,party,state,type,website
M001210,Gregory,Murphy,Republican,NC,rep,https://murphy.house.gov/media/press-releases
M000687,Kweisi,Mfume,Democrat,MD,rep,https://mfume.house.gov/media/press-releases
T000165,Thomas,Tiffany,Republican,WI,rep,https://tiffany.house.gov/media/press-releases
K000377,Mark,Kelly,Democrat,AZ,sen,https://www.kelly.senate.gov/newsroom/press-releases/
L000571,Cynthia,Lummis,Republican,WY,sen,https://www.lummis.senate.gov/press-releases/
I000056,Darrell,Issa,Republican,CA,rep,https://issa.house.gov/media/press-releases
S000250,Pete,Sessions,Republican,TX,rep,https://sessions.house.gov/press-releases
V000129,David,Valadao,Republican,CA,rep,https://valadao.house.gov/news/documentquery.aspx?DocumentTypeID=27
T000278,Tommy,Tuberville,Republican,AL,sen,https://www.tuberville.senate.gov/newsroom/press-releases/
H000273,John,Hickenlooper,Democrat,CO,sen,https://www.hickenlooper.senate.gov/press/
H000601,Bill,Hagerty,Republican,TN,sen,https://www.hagerty.senate.gov/press-releases/
M001212,Barry,Moore,Republican,AL,rep,https://barrymoore.house.gov/
O000019,Jay,Obernolte,Republican,CA,rep,https://obernolte.house.gov/media/press-releases
K000397,Young,Kim,Republican,CA,rep,https://youngkim.house.gov/media/press-releases/
J000305,Sara,Jacobs,Democrat,CA,rep,https://sarajacobs.house.gov/news/press-releases
B000825,Lauren,Boebert,Republican,CO,rep,https://boebert.house.gov/media/press-releases
C001039,Katherine,Cammack,Republican,FL,rep,https://cammack.house.gov/media/press-releases
F000472,Scott,Franklin,Republican,FL,rep,https://franklin.house.gov/news/documentquery.aspx?DocumentTypeID=27
D000032,Byron,Donalds,Republican,FL,rep,https://donalds.house.gov/news/documentquery.aspx?DocumentTypeID=27
G000593,Carlos,Gimenez,Republican,FL,rep,https://gimenez.house.gov/press-releases
S000168,Maria,Salazar,Republican,FL,rep,https://salazar.house.gov/media/press-releases
W000788,Nikema,Williams,Democrat,GA,rep,https://nikemawilliams.house.gov/press
C001116,Andrew,Clyde,Republican,GA,rep,https://clyde.house.gov/news/documentquery.aspx?DocumentTypeID=27
G000596,Marjorie,Greene,Republican,GA,rep,https://greene.house.gov/news/documentquery.aspx?DocumentTypeID=27
H001091,Ashley,Hinson,Republican,IA,rep,https://hinson.house.gov/media/press-releases
M001215,Mariannette,Miller-Meeks,Republican,IA,rep,https://millermeeks.house.gov/media/press-releases
F000446,Randy,Feenstra,Republican,IA,rep,https://feenstra.house.gov/media/press-releases
M001211,Mary,Miller,Republican,IL,rep,https://marymiller.house.gov/media/press-releases
M001214,Frank,Mrvan,Democrat,IN,rep,https://mrvan.house.gov/
